n,workers,seconds,duration
1,1,44.728312,44.7283118s
1,2,41.455176,41.4551761s
1,4,38.256013,38.2560127s
1,6,39.904257,39.9042573s
1,8,37.568295,37.5682951s
1,10,34.467326,34.4673256s
1,12,32.697947,32.6979469s
1,16,36.140023,36.1400225s
1,32,38.895693,38.8956928s
1,64,37.269411,37.2694108s
1,128,37.953395,37.9533954s
6,1,47.931471,47.9314713s
6,2,44.846200,44.8462s
6,4,43.949722,43.9497221s
6,6,41.695083,41.6950832s
6,8,40.288665,40.2886645s
6,10,40.211006,40.2110064s
6,12,38.232933,38.2329329s
6,16,38.514804,38.5148038s
6,32,40.675545,40.6755448s
6,64,43.005350,43.0053496s
6,128,40.319816,40.3198162s
