"clip","n","workers","seconds","duration","results_csv"
"a/clip_20s_120s","1","1","83,454394","1m23.4543943s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","2","78,933512","1m18.9335122s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","4","71,902313","1m11.9023127s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","6","61,907399","1m1.9073994s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","8","57,19273","57.1927302s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","10","56,921894","56.9218942s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","12","56,906124","56.9061238s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","16","58,056449","58.0564485s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","32","57,31734","57.3173401s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","64","56,585754","56.5857539s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","1","128","56,03415","56.0341498s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","1","67,859163","1m7.8591628s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","2","63,773656","1m3.7736562s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","4","61,631035","1m1.6310351s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","6","61,278628","1m1.2786278s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","8","66,654673","1m6.6546732s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","10","76,457386","1m16.4573857s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","12","76,804561","1m16.8045608s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","16","77,404867","1m17.4048672s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","32","77,03978","1m17.03978s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","64","76,096317","1m16.0963172s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_120s","6","128","76,873785","1m16.8737855s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_120s\results.csv"
"a/clip_20s_30s","1","1","21,420211","21.4202106s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","2","22,55036","22.5503599s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","4","21,402857","21.4028575s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","6","20,447087","20.4470869s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","8","21,254334","21.254334s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","10","20,224998","20.2249975s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","12","20,577296","20.5772965s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","16","20,183426","20.1834263s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","32","20,261083","20.261083s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","64","20,389528","20.3895283s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","1","128","19,713726","19.7137263s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","1","24,110849","24.1108491s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","2","22,393019","22.3930191s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","4","20,655681","20.6556807s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","6","20,356692","20.3566921s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","8","19,483168","19.4831678s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","10","20,520512","20.5205122s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","12","20,193924","20.1939237s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","16","20,101111","20.1011115s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","32","20,042807","20.0428075s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","64","20,252284","20.2522838s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_30s","6","128","19,884193","19.884193s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_30s\results.csv"
"a/clip_20s_60s","1","1","44,728312","44.7283118s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","2","41,455176","41.4551761s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","4","38,256013","38.2560127s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","6","39,904257","39.9042573s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","8","37,568295","37.5682951s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","10","34,467326","34.4673256s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","12","32,697947","32.6979469s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","16","36,140023","36.1400225s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","32","38,895693","38.8956928s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","64","37,269411","37.2694108s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","1","128","37,953395","37.9533954s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","1","47,931471","47.9314713s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","2","44,8462","44.8462s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","4","43,949722","43.9497221s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","6","41,695083","41.6950832s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
"a/clip_20s_60s","6","8","40,288665","40.2886645s","D:\Repository\go\unik\MP\bench_runs\clips_full\a\clip_20s_60s\results.csv"
