n,workers,seconds,duration
1,1,6.807801,6.8078009s
1,2,5.804681,5.8046809s
1,4,4.440630,4.4406299s
1,6,4.501881,4.5018806s
1,8,4.560251,4.5602515s
1,10,4.737491,4.7374911s
1,12,4.806835,4.8068346s
1,16,4.969202,4.9692015s
1,32,5.040663,5.0406631s
1,64,5.110571,5.1105712s
1,128,5.208294,5.2082944s
6,1,8.470309,8.470309s
6,2,7.328110,7.32811s
6,4,6.857809,6.8578087s
6,6,6.562830,6.56283s
6,8,6.648299,6.6482986s
6,10,6.763324,6.7633243s
6,12,6.931495,6.9314953s
6,16,6.837320,6.8373202s
6,32,7.797121,7.7971214s
6,64,8.586324,8.5863235s
6,128,8.130853,8.1308529s
