n,workers,seconds,duration
1,1,10.567058,10.5670581s
1,2,10.983570,10.9835701s
1,4,10.013600,10.0135997s
1,6,9.428563,9.4285633s
1,8,8.667204,8.6672042s
1,10,9.029966,9.0299657s
1,12,9.382128,9.3821278s
1,16,8.634633,8.6346328s
1,32,8.748764,8.7487641s
1,64,9.400831,9.4008312s
1,128,9.096118,9.0961177s
6,1,11.536460,11.5364598s
6,2,11.503784,11.5037839s
6,4,10.704138,10.7041376s
6,6,11.261237,11.2612373s
6,8,10.961515,10.9615152s
6,10,10.457023,10.4570228s
6,12,10.875437,10.8754372s
6,16,10.878752,10.8787523s
6,32,10.354557,10.3545573s
6,64,11.138679,11.138679s
6,128,10.829691,10.829691s
